regime,ablation,training_fraction,model_family,checkpoint_path,training_config_id,life_bin,bin,n_samples,n_nodes,mae_loglife,rmse_loglife,signed_mean_error_loglife,median_abs_error_loglife,MAE,RMSE,signed_mean_error,median_abs_error,unstable,training_fraction_pct,training_geometries,evaluation_label
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.026317428797483444,0.06366994231939316,0.0008217553258873522,0.011095523834228516,0.026317428797483444,0.06366994231939316,0.0008217553258873522,0.011095523834228516,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,log_life >= 6,log_life >= 6,426681,426681,0.022066140547394753,0.04514505714178085,-0.0025551458820700645,0.012986183166503906,0.022066140547394753,0.04514505714178085,-0.0025551458820700645,0.012986183166503906,False,25.0,1000,validation-split evaluation
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,Full test set,Full test set,679000,679000,0.01992647536098957,0.05110274255275726,-0.00021199633192736655,0.008043766021728516,0.01992647536098957,0.05110274255275726,-0.00021199633192736655,0.008043766021728516,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,log_life < 2,log_life < 2,1030,1030,0.25929442048072815,0.27848392724990845,0.2126450389623642,0.2621532678604126,0.25929442048072815,0.27848392724990845,0.2126450389623642,0.2621532678604126,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.19876810908317566,0.2369319349527359,-0.02055005542933941,0.1919872760772705,0.19876810908317566,0.2369319349527359,-0.02055005542933941,0.1919872760772705,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.10579556226730347,0.15132774412631989,0.011357367970049381,0.08047986030578613,0.10579556226730347,0.15132774412631989,0.011357367970049381,0.08047986030578613,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.02004942111670971,0.05509776249527931,0.0006234424072317779,0.006247997283935547,0.02004942111670971,0.05509776249527931,0.0006234424072317779,0.006247997283935547,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_50:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,log_life >= 6,log_life >= 6,426681,426681,0.016061022877693176,0.03660804405808449,-0.001264057937078178,0.008897781372070312,0.016061022877693176,0.03660804405808449,-0.001264057937078178,0.008897781372070312,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_50:PointNetMLPJoint_FP:pnmlp_16932d84,Full test set,Full test set,679000,679000,0.020724859088659286,0.04590707644820213,-0.0026241601444780827,0.010922908782958984,0.020724859088659286,0.04590707644820213,-0.0026241601444780827,0.010922908782958984,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_50:PointNetMLPJoint_FP:pnmlp_16932d84,log_life < 2,log_life < 2,1030,1030,0.12033860385417938,0.172392338514328,0.07241605222225189,0.08038687705993652,0.12033860385417938,0.172392338514328,0.07241605222225189,0.08038687705993652,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_50:PointNetMLPJoint_FP:pnmlp_16932d84,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.10850193351507187,0.15570038557052612,0.00013731312355957925,0.07504510879516602,0.10850193351507187,0.15570038557052612,0.00013731312355957925,0.07504510879516602,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_50:PointNetMLPJoint_FP:pnmlp_16932d84,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.09193519502878189,0.13491976261138916,0.01584208942949772,0.0653226375579834,0.09193519502878189,0.13491976261138916,0.01584208942949772,0.0653226375579834,False,50.0,2000,validation-split evaluation
Zonal,Edge_50,0.5,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_50:PointNetMLPJoint_FP:pnmlp_16932d84,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.02214793488383293,0.05001715198159218,-0.005020533222705126,0.011374950408935547,0.02214793488383293,0.05001715198159218,-0.005020533222705126,0.011374950408935547,False,50.0,2000,validation-split evaluation
