regime,ablation,model_family,grouped_region,n_nodes,LogLife_MAE,LogLife_RMSE,signed_mean_LogLife_error,median_abs_LogLife_error,Stress_MAE,Stress_RMSE,status
Zonal,Edge_25,GINOT-A,Rim features,217212,0.030643451065766276,0.06587435323926746,0.003048519603908062,0.016574859619140625,3.4323655985105197,8.098317892934181,ok
Zonal,Edge_25,GINOT-A,Remaining contour,370703,0.017224871653674246,0.0357316558971345,0.001549626816995442,0.010162830352783203,2.1106366117020845,3.548887192677331,ok
Zonal,Edge_25,PointNetMLPJoint_FP,Critical lower transition,66662,0.05489411915687297,0.12066812259144238,0.000590818643104285,0.011960983276367188,7.1833288657354455,17.022264243303752,ok
Zonal,Edge_25,PointNetMLPJoint_FP,Rim features,217212,0.03323799897100338,0.06910899076286521,-0.0007621841505169868,0.017987966537475586,3.7498144078091813,8.638408426839046,ok
Zonal,Edge_25,PointNetMLPJoint_FP,Remaining contour,370703,0.01704138978697005,0.03372799950842679,-0.0013243528082966805,0.010369300842285156,2.1880905275222933,3.5295419178136584,ok
Zonal,Edge_50,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.054754379213648494,0.11273076605683514,3.7991278077242896e-05,0.01129007339477539,7.412734810473598,16.12829296136476,ok
Zonal,Edge_50,ArGEnT_self_att_noSDF,Rim features,217212,0.022565906736320935,0.05210040670729225,-8.044856258493382e-06,0.010540008544921875,2.550984321530874,6.330919310265931,ok
Zonal,Edge_50,ArGEnT_self_att_noSDF,Remaining contour,370703,0.012787914292716383,0.029953277185278723,-0.00038234374369494617,0.006545066833496094,1.583357427261593,2.9263190801299763,ok
Zonal,Edge_50,GINOT-A,Critical lower transition,66662,0.057716995355180274,0.11588860996644136,0.009312090463936329,0.013882875442504883,7.368159117390658,16.28392328077675,ok
Zonal,Edge_50,GINOT-A,Rim features,217212,0.025387814049320962,0.05827316396302367,0.0033100852742791176,0.011837244033813477,2.836941933189771,7.025961273699996,ok
Zonal,Edge_50,GINOT-A,Remaining contour,370703,0.014266137057025272,0.032233960314341066,0.0024902040604501963,0.0076541900634765625,1.8168294556139233,3.173422542719441,ok
Zonal,Edge_50,PointNetMLPJoint_FP,Critical lower transition,66662,0.03511663004637501,0.07963854712494642,-0.0015586550580337644,0.008893966674804688,4.547079518863439,10.81077960427923,ok
Zonal,Edge_50,PointNetMLPJoint_FP,Rim features,217212,0.026591316752127933,0.05577789334288596,0.0001655897794989869,0.01450967788696289,2.9652146033713156,6.871708974443659,ok
Zonal,Edge_50,PointNetMLPJoint_FP,Remaining contour,370703,0.015024455230128641,0.02943833739573401,-0.00462304474785924,0.009676933288574219,1.9412488589432402,3.1712576360001097,ok
Zonal,Edge_75,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.050590384902778424,0.11056213437648821,-8.002293907338753e-05,0.006238698959350586,6.818947393456214,15.79513173577676,ok
Zonal,Edge_75,ArGEnT_self_att_noSDF,Rim features,217212,0.019138518083759177,0.044529771039139326,-0.00036109608481638134,0.009345054626464844,2.1836824860557096,5.508949776427492,ok
Zonal,Edge_75,ArGEnT_self_att_noSDF,Remaining contour,370703,0.010423560662994722,0.023511602496552726,-0.0005439581582322717,0.005223274230957031,1.34527942849089,2.6806810234812595,ok
Zonal,Edge_75,GINOT-A,Critical lower transition,66662,0.0523952511358975,0.11152341543986198,-0.0024867544416338205,0.00818490982055664,6.858808269960245,15.718224031970106,ok
Zonal,Edge_75,GINOT-A,Rim features,217212,0.025887672032115363,0.05650812696230422,0.004877879284322262,0.013875961303710938,2.8090608562134185,6.827041073756895,ok
Zonal,Edge_75,GINOT-A,Remaining contour,370703,0.013576041049297504,0.02850836834454281,0.0030317213386297226,0.008025169372558594,1.6847283884061741,2.963737908623066,ok
Zonal,Edge_75,PointNetMLPJoint_FP,Critical lower transition,66662,0.02442216641231037,0.05743516719359402,-0.00041967834113165736,0.006848335266113281,3.095707425075175,7.478138638733031,ok
Zonal,Edge_75,PointNetMLPJoint_FP,Rim features,217212,0.020147002124962878,0.04523622177836292,0.0006320025422610343,0.010388374328613281,2.257648182668697,5.444268425309755,ok
Zonal,Edge_75,PointNetMLPJoint_FP,Remaining contour,370703,0.010822998323024123,0.023744952252276096,-0.0010079373605549335,0.0060138702392578125,1.3713633818990725,2.5754629860317926,ok
