model,geometry_index,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,994,log_life_lt_6,6.0,239,0.028582874685525894,0.06205178424715996,0.006774220149964094
MATCH_250K,1803,all,all,679,0.022843554615974426,0.057188499718904495,-0.0070517538115382195
MATCH_250K,1803,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,1803,log_life_lt_3,3.0,7,0.1777707189321518,0.2546723186969757,-0.15130938589572906
MATCH_250K,1803,log_life_lt_4,4.0,22,0.15251769125461578,0.23223555088043213,-0.08191592991352081
MATCH_250K,1803,log_life_lt_5,5.0,121,0.04276012256741524,0.10643137246370316,-0.018677467480301857
MATCH_250K,1803,log_life_lt_6,6.0,260,0.029411304742097855,0.07773562520742416,-0.006870918907225132
MATCH_250K,2642,all,all,679,0.019862771034240723,0.050251808017492294,0.007759521249681711
MATCH_250K,2642,log_life_lt_2,2.0,2,0.3905169367790222,0.39292851090431213,0.3905169367790222
MATCH_250K,2642,log_life_lt_3,3.0,4,0.3503781855106354,0.3623543381690979,0.3503781855106354
MATCH_250K,2642,log_life_lt_4,4.0,17,0.17693132162094116,0.21752899885177612,0.17426910996437073
MATCH_250K,2642,log_life_lt_5,5.0,110,0.03963277488946915,0.0898435190320015,0.034791890531778336
MATCH_250K,2642,log_life_lt_6,6.0,247,0.029473867267370224,0.07537678629159927,0.020958658307790756
MATCH_250K,4802,all,all,679,0.01760399155318737,0.049775462597608566,-0.000295734906103462
MATCH_250K,4802,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,4802,log_life_lt_3,3.0,4,0.31164973974227905,0.35658901929855347,0.025916993618011475
MATCH_250K,4802,log_life_lt_4,4.0,6,0.29347145557403564,0.3501277267932892,0.10298296064138412
MATCH_250K,4802,log_life_lt_5,5.0,42,0.07785192877054214,0.1494765728712082,0.029844095930457115
MATCH_250K,4802,log_life_lt_6,6.0,230,0.026691889390349388,0.07778286188840866,0.008767591789364815
MATCH_250K,3535,all,all,679,0.02275148034095764,0.05740584805607796,-0.002641130005940795
MATCH_250K,3535,log_life_lt_2,2.0,2,0.2360953688621521,0.2945561707019806,0.2360953688621521
MATCH_250K,3535,log_life_lt_3,3.0,10,0.16396044194698334,0.24928417801856995,-0.015199864283204079
MATCH_250K,3535,log_life_lt_4,4.0,34,0.08862870931625366,0.15963923931121826,0.016276510432362556
MATCH_250K,3535,log_life_lt_5,5.0,156,0.04049476981163025,0.09353329241275787,-0.0010980054503306746
MATCH_250K,3535,log_life_lt_6,6.0,285,0.030264295637607574,0.07460615038871765,-0.002187265083193779
MATCH_250K,4831,all,all,679,0.020434144884347916,0.056296467781066895,-6.242300878511742e-05
MATCH_250K,4831,log_life_lt_2,2.0,1,0.18492400646209717,0.18492400646209717,-0.18492400646209717
MATCH_250K,4831,log_life_lt_3,3.0,5,0.13364574313163757,0.15792043507099152,-0.03138449043035507
MATCH_250K,4831,log_life_lt_4,4.0,16,0.17242027819156647,0.23387326300144196,0.044123224914073944
MATCH_250K,4831,log_life_lt_5,5.0,143,0.041903335601091385,0.10674073547124863,-0.002195652574300766
MATCH_250K,4831,log_life_lt_6,6.0,292,0.02921018935739994,0.07980900257825851,0.0031627623829990625
MATCH_250K,3911,all,all,679,0.022025933489203453,0.05768802762031555,-0.00983357336372137
MATCH_250K,3911,log_life_lt_2,2.0,1,0.3701866865158081,0.3701866865158081,-0.3701866865158081
MATCH_250K,3911,log_life_lt_3,3.0,4,0.3974619209766388,0.42875200510025024,-0.3974619209766388
MATCH_250K,3911,log_life_lt_4,4.0,14,0.22333012521266937,0.2988775670528412,-0.21732200682163239
MATCH_250K,3911,log_life_lt_5,5.0,138,0.04534192755818367,0.10815908759832382,-0.032087549567222595
MATCH_250K,3911,log_life_lt_6,6.0,276,0.031171118840575218,0.07944957166910172,-0.018644487485289574
MATCH_250K,2107,all,all,679,0.022355880588293076,0.06427758932113647,-0.0025983501691371202
MATCH_250K,2107,log_life_lt_2,2.0,2,0.4282786250114441,0.42861396074295044,-0.4282786250114441
MATCH_250K,2107,log_life_lt_3,3.0,5,0.31934496760368347,0.34678542613983154,-0.29430824518203735
MATCH_250K,2107,log_life_lt_4,4.0,21,0.1597823053598404,0.22163015604019165,-0.10800129920244217
MATCH_250K,2107,log_life_lt_5,5.0,152,0.041038405150175095,0.1030326709151268,-0.022647816687822342
MATCH_250K,2107,log_life_lt_6,6.0,300,0.030843686312437057,0.08562229573726654,-0.007926121354103088
MATCH_250K,3044,all,all,679,0.01700672321021557,0.04361962899565697,-0.003991257399320602
MATCH_250K,3044,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,3044,log_life_lt_3,3.0,4,0.1142459511756897,0.12768878042697906,-0.09654504060745239
MATCH_250K,3044,log_life_lt_4,4.0,14,0.10303866863250732,0.13615183532238007,-0.06265083700418472
MATCH_250K,3044,log_life_lt_5,5.0,111,0.035042181611061096,0.08620894700288773,-0.019892161712050438
MATCH_250K,3044,log_life_lt_6,6.0,263,0.025309083983302116,0.06611549854278564,-0.007658984512090683
MATCH_250K,416,all,all,679,0.01684686355292797,0.04298804700374603,-0.002031520241871476
MATCH_250K,416,log_life_lt_2,2.0,3,0.1783992052078247,0.18875735998153687,0.1783992052078247
